"Freq [GHz]","dB(St11) []"
0.45,-0.161735810084514
0.45225,-0.165362365906695
0.4545,-0.169076686751109
0.45675,-0.172881219698228
0.459,-0.176778489903115
0.46125,-0.180771103397072
0.4635,-0.184861750000586
0.46575,-0.189053206352367
0.468,-0.193348339059495
0.47025,-0.197750107973918
0.4725,-0.202261569600811
0.47475,-0.206885880644496
0.477,-0.211626301697969
0.47925,-0.216486201082282
0.4815,-0.221469058842364
0.48375,-0.226578470906166
0.486,-0.231818153414284
0.48825,-0.237191947227623
0.4905,-0.242703822620946
0.49275,-0.248357884170538
0.495,-0.254158375844642
0.49725,-0.260109686305619
0.4995,-0.26621635443329
0.50175,-0.272483075079376
0.504,-0.278914705063255
0.50625,-0.285516269419917
0.5085,-0.292292967911404
0.51075,-0.299250181813524
0.513,-0.306393480990241
0.51525,-0.31372863126864
0.5175,-0.321261602128031
0.51975,-0.32899857471733
0.522,-0.336945950215505
0.52425,-0.34511035855058
0.5265,-0.353498667493375
0.52875,-0.362117992142896
0.531,-0.37097570482108
0.53325,-0.380079445395352
0.5355,-0.389437132048345
0.53775,-0.399056972514962
0.54,-0.408947475807852
0.54225,-0.419117464453369
0.5445,-0.429576087260983
0.54675,-0.44033283265018
0.549,-0.45139754255992
0.55125,-0.46278042696684
0.5535,-0.47449207903943
0.55575,-0.486543490956738
0.558,-0.498946070421217
0.56025,-0.511711657896676
0.5625,-0.524852544603563
0.56475,-0.538381491305137
0.567,-0.552311747919485
0.56925,-0.56665707399374
0.5715,-0.581431760078324
0.57375,-0.596650650040549
0.576,-0.612329164358414
0.57825,-0.62848332443707
0.5805,-0.645129777991965
0.58275,-0.66228582554439
0.585,-0.679969448076806
0.58725,-0.698199335896999
0.5895,-0.716994918761947
0.59175,-0.736376397313905
0.594,-0.756364775883173
0.59625,-0.776981896713613
0.5985,-0.798250475669002
0.60075,-0.820194139479968
0.603,-0.842837464593212
0.60525,-0.866206017686495
0.6075,-0.890326397914729
0.60975,-0.915226280954401
0.612,-0.940934464915282
0.61425,-0.967480918190336
0.6165,-0.994896829316493
0.61875,-1.02321465892078
0.621,-1.05246819382811
0.62325,-1.0826926034089
0.6255,-1.11392449824642
0.62775,-1.14620199120574
0.63,-1.17956476098786
0.63225,-1.21405411825473
0.6345,-1.24971307441275
0.63675,-1.2865864131445
0.639,-1.32472076478073
0.64125,-1.36416468360726
0.6435,-1.40496872820397
0.64575,-1.44718554491644
0.648,-1.49086995456425
0.65025,-1.53607904249404
0.6525,-1.58287225209031
0.65475,-1.63131148186269
0.657,-1.68146118623487
0.65925,-1.73338848016853
0.6615,-1.7871632477649
0.66375,-1.84285825499778
0.666,-1.90054926674501
0.66825,-1.96031516830115
0.6705,-2.02223809157269
0.67275,-2.08640354617854
0.675,-2.15290055570473
0.67725,-2.22182179939151
0.6795,-2.29326375956656
0.68175,-2.36732687517782
0.684,-2.44411570182673
0.68625,-2.52373907875603
0.6885,-2.60631030330798
0.69075,-2.69194731343841
0.693,-2.78077287895179
0.69525,-2.87291480221072
0.6975,-2.96850612917323
0.69975,-3.06768537172104
0.702,-3.17059674236283
0.70425,-3.27739040252827
0.7065,-3.38822272580914
0.70875,-3.50325657765352
0.711,-3.62266161317274
0.71325,-3.74661459487729
0.7155,-3.87529973230828
0.71775,-4.00890904566923
0.72,-4.14764275567637
0.72225,-4.29170970191639
0.7245,-4.44132779200988
0.72675,-4.59672448379175
0.729,-4.75813730249969
0.73125,-4.9258143945495
0.7335,-5.10001511879958
0.73575,-5.2810106751625
0.738,-5.46908476887543
0.74025,-5.66453430650765
0.7425,-5.86767011661381
0.74475,-6.07881768349922
0.747,-6.29831787638867
0.74925,-6.5265276477609
0.7515,-6.76382066287433
0.75375,-7.01058780640366
0.756,-7.26723749003732
0.75825,-7.53419565466468
0.7605,-7.8119053194062
0.76275,-8.10082547307957
0.765,-8.40142902607905
0.76725,-8.71419943430951
0.7695,-9.03962546116164
0.77175,-9.37819334421562
0.774,-9.73037536127229
0.77625,-10.0966134204195
0.7785,-10.4772957995427
0.78075,-10.8727244944321
0.783,-11.2830697617877
0.78525,-11.7083073333702
0.7875,-12.1481324344734
0.78975,-12.6018432567368
0.792,-13.0681851979684
0.79425,-13.5451466554376
0.7965,-14.0296987898696
0.79875,-14.5174779013837
0.801,-15.0024237657535
0.80325,-15.4764155860377
0.8055,-15.9289933689463
0.80775,-16.3473138971087
0.81,-16.7165463469717
0.81225,-17.020913009879
0.8145,-17.2454540701494
0.81675,-17.3783040420411
0.819,-17.4129008831711
0.82125,-17.3493537402575
0.8235,-17.1944090967907
0.82575,-16.9600299320197
0.828,-16.6611674019154
0.83025,-16.3134979877723
0.8325,-15.9316899731298
0.83475,-15.5283955149389
0.837,-15.1138800308869
0.83925,-14.6960812615754
0.8415,-14.2808947790795
0.84375,-13.8725396780315
0.846,-13.4739191206
0.84825,-13.0869357253097
0.8505,-12.7127493685081
0.85275,-12.3519791860706
0.855,-12.0048575070482
0.85725,-11.6713449416309
0.8595,-11.3512152605933
0.86175,-11.0441173491062
0.864,-10.749620037041
0.86625,-10.4672442745565
0.8685,-10.1964860229816
0.87075,-9.93683236851078
0.873,-9.68777270859453
0.87525,-9.44880636840962
0.8775,-9.21944764011781
0.87975,-8.99922896944803
0.882,-8.78770281774272
0.88425,-8.58444258409005
0.8865,-8.38904286738342
0.88875,-8.20111927165828
0.891,-8.02030790219933
0.89325,-7.84626465909594
0.8955,-7.67866440508698
0.89775,-7.51720006271411
0.9,-7.36158167984415
0.90225,-7.21153549095637
0.9045,-7.0668029930757
0.90675,-6.92714004902989
0.909,-6.79231602620822
0.91125,-6.6621129757475
0.9135,-6.53632485474225
0.91575,-6.41475679242215
0.918,-6.29722440008533
0.92025,-6.18355312378502
0.9225,-6.07357763824397
0.92475,-5.96714128014059
0.927,-5.86409551872226
0.92925,-5.76429946161107
0.9315,-5.66761939365068
0.93375,-5.57392834667305
0.936,-5.48310569812933
0.93825,-5.39503679661498
0.9405,-5.3096126124191
