"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
6,2.97271052509882
6.05,3.03751306762322
6.1,3.10913933083845
6.15,3.18628288307798
6.2,3.26783789384235
6.25,3.35286206789074
6.3,3.44054787426594
6.35,3.53020015001178
6.4,3.62121817838518
6.45,3.71308131482367
6.5,3.80533760558153
6.55,3.89759405615127
6.6,3.98950931685703
6.65,4.08078700469251
6.7,4.17117058343693
6.75,4.26043887136956
6.8,4.34840238872574
6.85,4.43490009006832
6.9,4.51979694451884
6.95,4.60298123858752
7,4.68436290281045
7.05,4.76387147129756
7.1,4.84145472499323
7.15,4.91707721789625
7.2,4.99071877548408
7.25,5.06237349315193
7.3,5.13204859967142
7.35,5.19976320029191
7.4,5.26554743795789
7.45,5.32944132156502
7.5,5.39149388657098
7.55,5.45176202208569
7.6,5.51030980493282
7.65,5.56720742535643
7.7,5.62253017791545
7.75,5.67635771195585
7.8,5.72877322976567
7.85,5.77986247292219
7.9,5.82971289170828
7.95,5.87841304790304
8,5.92605163963694
8.05,5.97271690829456
8.1,6.01849583352602
8.15,6.06347355662687
8.2,6.10773279153376
8.25,6.15135304399023
8.3,6.19441032706744
8.35,6.23697641764643
8.4,6.27911857010967
8.45,6.32089897276001
8.5,6.36237435675327
8.55,6.40359574768163
8.6,6.44460799350042
8.65,6.48544957423272
8.7,6.52615229373777
8.75,6.56674111425976
8.8,6.60723386346877
8.85,6.64764124081133
8.9,6.68796653279068
8.95,6.72820554638198
9,6.76834674489622
9.05,6.80837092130426
9.1,6.84825152562198
9.15,6.88795454245686
9.2,6.92743878635413
9.25,6.96665592165533
9.3,7.00555090469864
9.35,7.04406210231669
9.4,7.08212195790904
9.45,7.1196573326973
9.5,7.1565900651962
9.55,7.19283787226541
9.6,7.22831507759121
9.65,7.26293348605929
9.7,7.29660356571602
9.75,7.32923572027286
9.8,7.36074148175179
9.85,7.39103511320893
9.9,7.42003497682758
9.95,7.44766554650571
10,7.47385856036815
10.05,7.49855488657117
10.1,7.52170536441248
10.15,7.54327166448715
10.2,7.56322574142676
10.25,7.58154877182019
10.3,7.5982285998451
10.35,7.61325601397363
10.4,7.62662038007342
10.45,7.63830461524933
10.5,7.6482797051188
10.55,7.65649947420112
10.6,7.66289568420453
10.65,7.6673744571921
10.7,7.66981402862385
10.75,7.6700649762598
10.8,7.66795332103896
10.85,7.66328606843048
10.9,7.65585957715532
10.95,7.64546976761167
11,7.63192286609595
11.05,7.6150458972473
11.1,7.59469589865873
11.15,7.57076611505697
11.2,7.5431896112748
11.25,7.51193974104946
11.3,7.47702774857971
11.35,7.4384985469477
11.4,7.39642477647735
11.45,7.3509006361848
11.5,7.30203568039668
11.55,7.24994978601305
11.6,7.19476836594264
11.65,7.13661962666484
11.7,7.07563237656303
11.75,7.01193517079955
11.8,6.94565592203968
11.85,6.87692256538694
11.9,6.8058635466713
11.95,6.73260879322808
12,6.65729068196274
12.05,6.58004473635154
12.1,6.50101028902198
12.15,6.42033102513396
12.2,6.33815530200587
12.25,6.25463623839363
12.3,6.16993163149091
12.35,6.08420390362393
12.4,5.99761974260528
12.45,5.91034967416012
12.5,5.82256767635163
12.55,5.73445046677968
12.6,5.64617680142588
12.65,5.55792658010678
12.7,5.46987989246493
12.75,5.38221586667313
12.8,5.29511133460061
12.85,5.20873935522609
12.9,5.12326778442195
12.95,5.03885725700511
13,4.95565958257657
13.05,4.87381581142749
13.1,4.79345467719933
13.15,4.71469056916029
13.2,4.63762236983019
13.25,4.56233225165576
13.3,4.48888496168103
13.35,4.41732764266086
13.4,4.34768994171265
13.45,4.27998541090678
13.5,4.21421242871721
13.55,4.15035707121967
13.6,4.08839482439725
13.65,4.02829447797814
13.7,3.97002081816481
13.75,3.91353859109849
13.8,3.85881569376257
13.85,3.80582645189662
13.9,3.75455490865367
13.95,3.70499717036326
14,3.65716355351252
14.05,3.61107964138321
14.1,3.56678724530233
14.15,3.52434401653833
14.2,3.48382272172286
14.25,3.44530924591584
14.3,3.40890051299522
14.35,3.37470095077563
14.4,3.34281882169962
14.45,3.31336169517678
14.5,3.28643166065864
14.55,3.26211978560666
14.6,3.24050056036613
14.65,3.2216261710575
14.7,3.20552067461831
14.75,3.19217421566828
14.8,3.18153781174854
14.85,3.1735183505677
14.9,3.16797420134847
14.95,3.16471181472974
15,3.16348286473108
15.05,3.16398271506792
15.1,3.16584971381914
15.15,3.16866610482767
15.2,3.17195939401901
15.25,3.17520592988008
15.3,3.17783496070082
15.35,3.17923433532222
15.4,3.17875718725863
15.45,3.175729964302
15.5,3.16946103230022
15.55,3.15925058128485
15.6,3.14440081717938
15.65,3.12422702046426
15.7,3.09806797943119
15.75,3.06529736349979
15.8,3.02533353860266
15.85,2.97764931522032
15.9,2.92178001222835
15.95,2.85733037108618
16,2.78397934381097
16.05,2.70148336698911
16.1,2.6096772535572
16.15,2.50847327592229
16.2,2.39785855368734
16.25,2.27789101604951
16.3,2.14869389833915
16.35,2.01045031911804
16.4,1.86339697217617
16.45,1.70781907768086
16.5,1.54404572420122
16.55,1.3724470121065
16.6,1.19343294523989
16.65,1.00745479209103
16.7,0.815008169071258
16.75,0.616639537723506
16.8,0.412954132548296
16.85,0.204626312450256
16.9,-0.00758865673762675
16.95,-0.222843466337862
17,-0.440187031109474
17.05,-0.658556670494277
17.1,-0.876774475854072
17.15,-1.09355026923221
17.2,-1.30749229841337
17.25,-1.51712922331893
17.3,-1.72094128319624
17.35,-1.91740175099129
17.4,-2.10502433091218
17.45,-2.28241577983466
17.5,-2.44832591076375
17.55,-2.6016914144012
17.6,-2.74166868373291
17.65,-2.86765242956152
17.7,-2.97927879743865
17.75,-3.07641413481244
17.8,-3.15913279725262
17.85,-3.22768657349241
17.9,-3.2824708010299
17.95,-3.32399259616045
18,-3.35283997226196
