"Freq [GHz]","dB(St11) []"
6,-0.23217844396756
6.05,-0.236233395739927
6.1,-0.24086873805572
6.15,-0.246000420385091
6.2,-0.251551719404059
6.25,-0.257452962549522
6.3,-0.263641241604336
6.35,-0.270060120077525
6.4,-0.276659337579117
6.45,-0.283394513874164
6.5,-0.290226854837114
6.55,-0.297122862115394
6.6,-0.304054047948294
6.65,-0.310996656271365
6.7,-0.317931390964823
6.75,-0.324843151873642
6.8,-0.331720779033273
6.85,-0.338556805375611
6.9,-0.345347218060329
6.95,-0.352091228475386
7,-0.358791050872436
7.05,-0.36545168954699
7.1,-0.372080734435346
7.15,-0.378688164979117
7.2,-0.38528616210083
7.25,-0.39188892813884
7.3,-0.398512514604667
7.35,-0.405174657649419
7.4,-0.411894621156499
7.45,-0.4186930474141
7.5,-0.425591815361828
7.55,-0.432613906450239
7.6,-0.439783278198692
7.65,-0.447124745585619
7.7,-0.454663870454507
7.75,-0.462426859168407
7.8,-0.470440468794982
7.85,-0.478731922152241
7.9,-0.487328832091945
7.95,-0.496259135442978
8,-0.505551037080071
8.05,-0.515232964624712
8.1,-0.525333534323942
8.15,-0.535881528689975
8.2,-0.546905886518569
8.25,-0.558435705937598
8.3,-0.570500261169564
8.35,-0.583129033723031
8.4,-0.596351758759453
8.45,-0.61019848741349
8.5,-0.624699665878343
8.55,-0.639886232102989
8.6,-0.65578973098762
8.65,-0.672442449006998
8.7,-0.689877569241431
8.75,-0.708129347852306
8.8,-0.727233313105211
8.85,-0.747226488120988
8.9,-0.768147638624481
8.95,-0.790037547065317
9,-0.812939314605896
9.05,-0.836898692612428
9.1,-0.861964445446789
9.15,-0.888188746544036
9.2,-0.915627609975158
9.25,-0.944341359940873
9.3,-0.97439514092441
9.35,-1.00585947155293
9.4,-1.0388108455849
9.45,-1.07333238385977
9.5,-1.10951454152358
9.55,-1.14745587538882
9.6,-1.18726387690779
9.65,-1.22905587694709
9.7,-1.27296002936211
9.75,-1.31911638129717
9.8,-1.36767803920283
9.85,-1.41881244078569
9.9,-1.47270274451874
9.95,-1.52954934997407
10,-1.58957156413584
10.05,-1.65300943106001
10.1,-1.72012574483066
10.15,-1.79120826879631
10.2,-1.86657218765017
10.25,-1.94656282316513
10.3,-2.03155864946017
10.35,-2.12197464975449
10.4,-2.2182660639102
10.45,-2.32093258500016
10.5,-2.430523074093
10.55,-2.54764087598931
10.6,-2.67294983552694
10.65,-2.80718113531625
10.7,-2.95114110274735
10.75,-3.10572016871545
10.8,-3.27190320533609
10.85,-3.45078152857804
10.9,-3.64356692928702
10.95,-3.8516081996573
11,-4.07641076203631
11.05,-4.3196601977367
11.1,-4.58325073675056
11.15,-4.86932013663395
11.2,-5.18029289790376
11.25,-5.51893450647358
11.3,-5.88842047321231
11.35,-6.29242553417682
11.4,-6.73524076946622
11.45,-7.22193006943308
11.5,-7.75854313325919
11.55,-8.35241144494514
11.6,-9.01256900445878
11.65,-9.75036582135797
11.7,-10.5803887330673
11.75,-11.5218902413507
11.8,-12.6010929692351
11.85,-13.8550774995024
11.9,-15.3386904293629
11.95,-17.1375260353077
12,-19.3934020576503
12.05,-22.3506391645675
12.1,-26.3352430178446
12.15,-29.9557061261201
12.2,-27.3611317435337
12.25,-23.2511778662109
12.3,-20.181996276181
12.35,-17.8823423685604
12.4,-16.0797441809817
12.45,-14.6150661050302
12.5,-13.3933324565543
12.55,-12.3543704609983
12.6,-11.4578810379804
12.65,-10.6755842686122
12.7,-9.98684990847785
12.75,-9.37613366053075
12.8,-8.83140106959544
12.85,-8.34311884787709
12.9,-7.90358658369645
12.95,-7.5064804195865
13,-7.14653309201712
13.05,-6.81930422077508
13.1,-6.52101184374273
13.15,-6.24840645187472
13.2,-5.99867511561445
13.25,-5.76936731145845
13.3,-5.55833666449597
13.35,-5.3636945500898
13.4,-5.18377266376428
13.45,-5.01709246860612
13.5,-4.86233998716227
13.55,-4.71834479892567
13.6,-4.58406238663685
13.65,-4.45855917907539
13.7,-4.3409997878779
13.75,-4.23063604698773
13.8,-4.1267975465383
13.85,-4.02888341593828
13.9,-3.9363551590639
13.95,-3.84873038162605
14,-3.76557727974702
14.05,-3.68650978157
14.1,-3.6111832518142
14.15,-3.53929068367367
14.2,-3.4705593141515
14.25,-3.40474760843747
14.3,-3.34164256673839
14.35,-3.2810573134107
14.4,-3.22282893359904
14.45,-3.16681652706167
14.5,-3.11289945263302
14.55,-3.06097573996445
14.6,-3.01096064790363
14.65,-2.96278535120365
14.7,-2.91639573926611
14.75,-2.87175131237274
14.8,-2.82882416239636
14.85,-2.78759802634306
14.9,-2.74806740229649
14.95,-2.71023671844134
15,-2.67411954686002
15.05,-2.63973785474529
15.1,-2.60712128657076
15.15,-2.57630647162382
15.2,-2.54733635214654
15.25,-2.52025952815806
15.3,-2.49512961585488
15.35,-2.47200461730955
15.4,-2.45094630001546
15.45,-2.43201958565823
15.5,-2.41529194832938
15.55,-2.40083282323421
15.6,-2.38871302777516
15.65,-2.37900419771025
15.7,-2.37177824188119
15.75,-2.36710681977113
15.8,-2.36506084687491
15.85,-2.36571003353584
15.9,-2.36912246351231
15.95,-2.37536421907608
16,-2.38449905990429
16.05,-2.396588163405
16.1,-2.41168993440675
16.15,-2.42985989234807
16.2,-2.45115064422199
16.25,-2.4756119515677
16.3,-2.50329089975812
16.35,-2.53423217770681
16.4,-2.5684784759048
16.45,-2.60607101037919
16.5,-2.64705017970585
16.55,-2.69145636154771
16.6,-2.73933085423026
16.65,-2.79071696745569
16.7,-2.84566126417421
16.75,-2.90421495255532
16.8,-2.96643542248174
16.85,-3.03238791440236
16.9,-3.10214729888547
16.95,-3.17579993169026
17,-3.2534455301628
17.05,-3.33519899041223
17.1,-3.4211920287527
17.15,-3.51157448263234
17.2,-3.60651504277671
17.25,-3.70620110672027
17.3,-3.81083734225943
17.35,-3.92064242768976
17.4,-4.0358432982112
17.45,-4.15666608618267
17.5,-4.28332282042207
17.55,-4.41599288743302
17.6,-4.55479831968723
17.65,-4.69977225457187
17.7,-4.85082051839497
17.75,-5.00767735634512
17.8,-5.16985794148265
17.85,-5.33661243780292
17.9,-5.50688884113283
17.95,-5.67931404407818
18,-5.85220368504611
