"Freq [GHz]","dB(St(Stripline_T1,Stripline_T1)) []"
8,-9.79450922725774
8.065,-9.84638105896711
8.13,-9.86389250755976
8.195,-9.85268772676032
8.26,-9.81755260284079
8.325,-9.76264656274018
8.39,-9.69167769412784
8.455,-9.60803621905637
8.52,-9.51489624309711
8.585,-9.41529205956323
8.65,-9.31217267601261
8.715,-9.20843637079473
8.78,-9.10694584013173
8.845,-9.01052381993353
8.91,-8.92192898175205
8.975,-8.84381244620802
9.04,-8.77865642915308
9.105,-8.72869823809061
9.17,-8.69584482759324
9.235,-8.68158500870725
9.3,-8.68690769605293
9.365,-8.71223479918846
9.43,-8.75737624164069
9.495,-8.82151217162349
9.56,-8.90320413866231
9.625,-9.00043355953813
9.69,-9.11066296893396
9.755,-9.23091395923486
9.82,-9.35785562681738
9.885,-9.48789862867752
9.95,-9.61729216271548
10.015,-9.74222369258141
10.08,-9.85892339335697
10.145,-9.96377653155203
10.21,-10.0534468995236
10.275,-10.1250127940653
10.34,-10.1761139191639
10.405,-10.2051033842236
10.47,-10.2111943841843
10.535,-10.1945871741468
10.6,-10.1565596330888
10.665,-10.0995048562637
10.73,-10.0269021349098
10.795,-9.94321311308237
10.86,-9.85370218229139
10.925,-9.76418849187986
10.99,-9.68074558660103
11.055,-9.6093728660561
11.12,-9.55566967531844
11.185,-9.52454622402631
11.25,-9.52000382497125
11.315,-9.54500898477427
11.38,-9.60147225636131
11.445,-9.69032617474806
11.51,-9.81168105648435
11.575,-9.96502661416624
11.64,-10.1494429773701
11.705,-10.3637861089069
11.77,-10.6068172197375
11.835,-10.8772505636602
11.9,-11.1736966632809
11.965,-11.4944780321313
12.03,-11.8372937454251
12.095,-12.198713232088
12.16,-12.5734989745926
12.225,-12.9538092532083
12.29,-13.3284356290746
12.355,-13.6823920979087
12.42,-13.9973462503669
12.485,-14.253412495177
12.55,-14.4324689092416
12.615,-14.5223097682467
12.68,-14.5200273324489
12.745,-14.432929075235
12.81,-14.2764799495588
12.875,-14.070373991313
12.94,-13.8345522132079
13.005,-13.5864629517581
13.07,-13.3398730800758
13.135,-13.1048640144004
13.2,-12.8884669526429
13.265,-12.6955045909129
13.33,-12.5293882555636
13.395,-12.3927610690947
13.46,-12.2879592169665
13.525,-12.2172998436267
13.59,-12.1832156576309
13.655,-12.1882578409066
13.72,-12.2349891430093
13.785,-12.3257921965601
13.85,-12.462624637014
13.915,-12.6467602433265
13.98,-12.878559906191
14.045,-13.1573135785844
14.11,-13.4811824433362
14.175,-13.8472510982753
14.24,-14.2516778903133
14.305,-14.6899141306021
14.37,-15.1569544834747
14.435,-15.6475823146111
14.5,-16.15658268327
14.565,-16.8175599168294
14.63,-17.5469737600067
14.695,-18.348340007787
14.76,-19.2233292352
14.825,-20.1692765061196
14.89,-21.1742590113357
14.955,-22.2080925260815
15.02,-23.2082747903208
15.085,-24.0657807524115
15.15,-24.6316854049869
15.215,-24.7753776835544
15.28,-24.4729251212205
15.345,-23.8264974407624
15.41,-22.9881981640413
15.475,-22.0837704926118
15.54,-21.190688788397
15.605,-20.3485608860786
15.67,-19.5744077595963
15.735,-18.8734821369826
15.8,-18.2454545398655
15.865,-17.6876381337244
15.93,-17.1965863124604
15.995,-16.7688496527082
16.06,-16.4013112214858
16.125,-16.091314417332
16.19,-15.8366904991543
16.255,-15.6357380546558
16.32,-15.4871783304414
16.385,-15.3900952615931
16.45,-15.3438603452038
16.515,-15.3480365929405
16.58,-15.4022506522914
16.645,-15.5060165696792
16.71,-15.6584878365445
16.775,-15.8581062007737
16.84,-16.1021075272863
16.905,-16.3858412901933
16.97,-16.7018724534706
17.035,-17.0388861058908
17.1,-17.3805453421417
17.165,-17.7047026835491
17.23,-17.9837151101996
17.295,-18.1868463873151
17.36,-18.2853520419599
17.425,-18.2593794628445
17.49,-18.1038605742639
17.555,-17.8301058311368
17.62,-17.4621070241587
17.685,-17.0298050450555
17.75,-16.5627341057316
17.815,-16.0860849308101
17.88,-15.6193056501117
17.945,-15.1763652863115
18.01,-14.7667542032765
18.075,-14.3966242117077
18.14,-14.069789865034
18.205,-13.7885081387168
18.27,-13.5540446568113
18.335,-13.3670650686035
18.4,-13.2278927342193
18.465,-13.1366662494141
18.53,-13.093420405179
18.595,-13.0981047382092
18.66,-13.1505454345147
18.725,-13.2503487268183
18.79,-13.3967366835989
18.855,-13.5882993878391
18.92,-13.8226418774894
18.985,-14.0959028302834
19.05,-14.4021315977474
19.115,-14.73254368444
19.18,-15.0747517949528
19.245,-15.4122092708742
19.31,-15.7242954921745
19.375,-15.9876224068038
19.44,-16.179016696792
19.505,-16.2799710885655
19.57,-16.2812559966529
19.635,-16.1856404905382
19.7,-16.0072697441868
19.765,-15.7680345718053
19.83,-15.4927712881775
19.895,-15.2052048842993
19.96,-14.9255562522986
20.025,-14.6697284062234
20.09,-14.4495261696895
20.155,-14.2733653990984
20.22,-14.1471109401732
20.285,-14.0748624312964
20.35,-14.0596250231881
20.415,-14.1038635230216
20.48,-14.209964740831
20.545,-14.3806418519581
20.61,-14.6193176198172
20.675,-14.9305268193353
20.74,-15.3203865461064
20.805,-15.7972010372026
20.87,-16.3723031169207
20.935,-17.061303516258
21,-17.8860575614302
