"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-2.72485849590657
2,-3.12590434869635
4,-3.62492962451615
6,-4.21472773953825
8,-4.87357777061537
10,-5.55260997679046
12,-6.15956029479506
14,-6.55318427746311
16,-6.58098741007901
18,-6.16890824091469
20,-5.37956661414829
22,-4.36104512368804
24,-3.25553439601936
26,-2.15712904752899
28,-1.11544799933468
30,-0.151826018534671
32,0.727628886213231
34,1.52423473850515
36,2.24259850908147
38,2.88854861672561
40,3.46814617166523
42,3.98723880746708
44,4.45128160779887
46,4.86528631423183
48,5.2338294403463
50,5.56108488139678
52,5.85086420744777
54,6.10665669478281
56,6.33166560698934
58,6.52883945368146
60,6.70089802987475
62,6.85035353353365
64,6.97952726131471
66,7.09056244196863
68,7.18543375989677
70,7.26595408687664
72,7.33377889702995
74,7.39040879732001
76,7.43719056639625
78,7.47531705883815
80,7.50582629885907
82,7.52960005586727
84,7.54736216246048
86,7.55967680217557
88,7.56694695872413
90,7.56941318005377
92,7.56715276937352
94,7.56007947167319
96,7.54794367899053
98,7.5303331316889
100,7.50667404734034
102,7.47623256442802
104,7.43811634574754
106,7.39127614651916
108,7.33450711482075
110,7.26644955653002
112,7.18558886255566
114,7.09025426133552
116,6.97861602266348
118,6.84868069806609
120,6.69828393668722
122,6.52508036349517
124,6.32652995051394
126,6.09988025846103
128,5.84214389197063
130,5.55007053135558
132,5.22011304837013
134,4.84838762315133
136,4.43062873138343
138,3.96214191151752
140,3.43776143800384
142,2.8518285959067
144,2.19822358034694
146,1.47051909137882
148,0.662394614339693
150,-0.231407014292541
152,-1.21301977376424
154,-2.27722366103609
156,-3.40324798990234
158,-4.54060800019675
160,-5.59073452634586
162,-6.40144971258071
164,-6.81288892193146
166,-6.76016326683949
168,-6.32864135680232
170,-5.68444703792945
172,-4.97566645616908
174,-4.2954710962092
176,-3.691272737822
178,-3.18301271672032
180,-2.77645412573832
