"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.46370953193707
2,3.46365203975491
4,3.4628072415058
6,3.4614305474879
8,3.45970331040221
10,3.457717552994
12,3.45546288642504
14,3.45281650413914
16,3.44953694780898
18,3.4452620731194
20,3.43951132170816
22,3.43169206920526
24,3.42110950876998
26,3.40697928143
28,3.38844190497521
30,3.36457799384766
32,3.33442329999955
34,3.29698272284219
36,3.25124261046758
38,3.19618087617801
40,3.13077465716213
42,3.05400542375964
44,2.96486159258631
46,2.86233879626413
48,2.74543801436291
50,2.61316177715023
52,2.4645086220219
54,2.29846592003451
56,2.11400110521577
58,1.91005123998756
60,1.68551074215767
62,1.43921698623512
64,1.16993337519031
66,0.876329355971553
68,0.55695671762251
70,0.21022135611285
72,-0.165650496233473
74,-0.572652809189308
76,-1.0130485791694
78,-1.4894288027702
80,-2.00478384771344
82,-2.56258982476831
84,-3.16691269458016
86,-3.82253227216362
88,-4.53508589598575
90,-5.31122468970243
92,-6.15875793286949
94,-7.08671855309014
96,-8.10518030583751
98,-9.22441061519105
100,-10.4523523420084
102,-11.788058456429
104,-13.2059074879864
106,-14.6221419691891
108,-15.844408641268
110,-16.56819518463
112,-16.5595513727378
114,-15.9012318140805
116,-14.8979885770012
118,-13.8110955828833
120,-12.7767173338585
122,-11.8467506827916
124,-11.0334655631269
126,-10.333533850223
128,-9.73858332971017
130,-9.23942780909963
132,-8.82761941510306
134,-8.49591653576976
136,-8.23833273073593
138,-8.05004010001145
140,-7.92723773604122
142,-7.86702834866566
144,-7.86731841624984
146,-7.92674628358274
148,-8.04463889127363
150,-8.220997244791
152,-8.45651164454422
154,-8.75260947433056
156,-9.11154084667123
158,-9.5365107530424
160,-10.0318708429916
162,-10.6033898831202
164,-11.2586293874607
166,-12.0074586272034
168,-12.8627452411481
170,-13.8412318606463
172,-14.9644786475871
174,-16.2592491229483
176,-17.7548936246285
178,-19.4687759628726
180,-21.3492248118013
