"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.42230733366924
2,3.39786663386714
4,3.37184286832556
6,3.34417957330018
8,3.314843288233
10,3.28382584463605
12,3.2511464801956
14,3.21685368646921
16,3.1810266689288
18,3.14377627129936
20,3.10524519455762
22,3.06560732732512
24,3.02506600167769
26,2.98385099958278
28,2.94221416294364
30,2.90042350650763
32,2.85875579834076
34,2.81748765600856
36,2.77688530454977
38,2.73719324871667
40,2.6986222182099
42,2.66133684022775
44,2.625443567158
46,2.59097942787113
48,2.55790217042754
50,2.52608231777396
52,2.49529756717554
54,2.46522983544188
56,2.43546509732752
58,2.40549599924955
60,2.37472707137283
62,2.34248222362752
64,2.30801410731733
66,2.27051486063754
68,2.22912773512426
70,2.18295911721795
72,2.13109050732054
74,2.07259008831166
76,2.00652359626304
78,1.9319642886876
80,1.84800188251892
82,1.75375039985262
84,1.64835491133738
86,1.53099720409291
88,1.40090042390757
90,1.25733275212111
92,1.09961017860105
94,0.927098426423252
96,0.739214074102684
98,0.535424910087189
100,0.315249543956554
102,0.0782562911412977
104,-0.175938655719277
106,-0.447673754639728
108,-0.737245321221993
110,-1.04491138373903
112,-1.37089614063614
114,-1.7153949570587
116,-2.07857981815773
118,-2.46060513894343
120,-2.8616138158164
122,-3.28174339642835
124,-3.72113224535126
126,-4.17992559661808
128,-4.65828141432414
130,-5.15637603333962
132,-5.67440962854059
134,-6.21261166836444
136,-6.7712466535328
138,-7.35062063232326
140,-7.95108922891069
142,-8.57306823077591
144,-9.21704816360078
146,-9.88361474096677
148,-10.573477602152
150,-11.2875103071195
152,-12.0268050502278
154,-12.7927457807118
156,-13.5871029612082
158,-14.4121512066332
160,-15.2708057792569
162,-16.1667616981773
164,-17.104592104542
166,-18.0897028977804
168,-19.1279090084868
170,-20.2241062640431
172,-21.3788790227727
174,-22.5806076825225
176,-23.788692580273
178,-24.9037399165959
180,-25.7368888390504
