"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-3.2088279363824
1.005,-2.84545653009924
1.01,-2.53615837983771
1.015,-2.27168483355107
1.02,-2.04451122869182
1.025,-1.84851336661558
1.03,-1.67870209083308
1.035,-1.53100696308488
1.04,-1.40210080765083
1.045,-1.28925786583726
1.05,-1.19023932646614
1.055,-1.10320099009375
1.06,-1.02661873393769
1.065,-0.959228245400326
1.07,-0.899976176988145
1.075,-0.847980448279789
1.08,-0.80249789168457
1.085,-0.762897820982372
1.09,-0.72864040826999
1.095,-0.699258998224221
1.1,-0.674345679304204
1.105,-0.653539578860718
1.11,-0.636517460897566
1.115,-0.622986288092556
1.12,-0.612677469409044
1.125,-0.60534255632793
1.13,-0.600750178996208
1.135,-0.598684032539359
1.14,-0.598941737045515
1.145,-0.601334405358953
1.15,-0.605686763233044
1.155,-0.611837678291502
1.16,-0.619640968608757
1.165,-0.628966378838409
1.17,-0.639700631407684
1.175,-0.65174848164376
1.18,-0.665033727845851
1.185,-0.679500149239163
1.19,-0.695112365506894
1.195,-0.711856630465693
1.2,-0.729741588975991
1.205,-0.748799040206602
1.21,-0.769084762024452
1.215,-0.790679460900498
1.22,-0.813689919806715
1.225,-0.838250423682017
1.23,-0.864524548682102
1.235,-0.892707407953375
1.24,-0.923028453118074
1.245,-0.955754936509649
1.25,-0.991196143025595
1.255,-1.02970849933811
1.26,-1.07170165671405
1.265,-1.11764561234009
1.27,-1.16807886655155
1.275,-1.22361748227392
1.28,-1.28496467252462
1.285,-1.35292011640153
1.29,-1.42838747028858
1.295,-1.51237730113283
1.3,-1.60600061295479
1.305,-1.71044480166618
1.31,-1.82691861047339
1.315,-1.95654470168897
1.32,-2.10016726129479
1.325,-2.25802833089242
1.33,-2.42925493527915
1.335,-2.61110349852167
1.34,-2.79796034200805
1.345,-2.9802523180896
1.35,-3.1437346829391
1.355,-3.27004260471065
1.36,-3.33955659494524
1.365,-3.33683255943573
1.37,-3.25679310491834
1.375,-3.10804964834643
1.38,-2.91072951240479
1.385,-2.68996748754133
1.39,-2.46899338498708
1.395,-2.26496136133963
1.4,-2.08805148057067
1.405,-1.94264528030077
1.41,-1.82918191771003
1.415,-1.74584645981497
1.42,-1.6897896379227
1.425,-1.65788644147143
1.43,-1.64714955260094
1.435,-1.65491980023797
1.44,-1.67892704555778
1.445,-1.71728298831181
1.45,-1.76844269058781
1.455,-1.83115520980087
1.46,-1.90441376544105
1.465,-1.98741018808261
1.47,-2.07949535074028
1.475,-2.1801457534404
1.48,-2.28893574091858
1.485,-2.40551458360556
1.49,-2.52958762094532
1.495,-2.66090073324437
1.5,-2.79922751116841
1.505,-2.94435859998368
1.51,-3.09609279498787
1.515,-3.25422955035777
1.52,-3.41856263522075
1.525,-3.58887472943041
1.53,-3.76493279929141
1.535,-3.9464841324518
1.54,-4.13325294331297
1.545,-4.32493748727534
1.55,-4.52120764531399
1.555,-4.72170296082124
1.56,-4.92603112911918
1.565,-5.13376695699051
1.57,-5.34445182515793
1.575,-5.55759370071533
1.58,-5.77266775863071
1.585,-5.98911768085465
1.59,-6.20635770726174
1.595,-6.42377551338513
1.6,-6.64073598430552
1.605,-6.85658594075817
1.61,-7.07065985135793
1.615,-7.28228653306873
1.62,-7.49079680062475
1.625,-7.69553197547158
