"Freq [GHz]","dB(St11) []"
0.45,-0.172941671061467
0.45225,-0.176735871695546
0.4545,-0.180619089139017
0.45675,-0.184593717530278
0.459,-0.188662224181848
0.46125,-0.192827152077944
0.4635,-0.197091122465795
0.46575,-0.20145683754445
0.468,-0.205927083255095
0.47025,-0.210504732176864
0.4725,-0.21519274653256
0.47475,-0.219994181308642
0.477,-0.224912187494205
0.47925,-0.229950015443742
0.4815,-0.23511101836879
0.48375,-0.240398655963696
0.486,-0.245816498171011
0.48825,-0.25136822909219
0.4905,-0.257057651049652
0.49275,-0.262888688806297
0.495,-0.26886539394904
0.49725,-0.274991949443063
0.4995,-0.281272674363857
0.50175,-0.287712028814308
0.504,-0.294314619034543
0.50625,-0.301085202712397
0.5085,-0.308028694502847
0.51075,-0.315150171765004
0.513,-0.322454880525628
0.51525,-0.329948241678556
0.5175,-0.337635857429723
0.51975,-0.345523517997949
0.522,-0.353617208582009
0.52425,-0.361923116604982
0.5265,-0.370447639247259
0.52875,-0.379197391280109
0.531,-0.388179213212149
0.53325,-0.397400179761548
0.5355,-0.4068676086673
0.53775,-0.416589069853458
0.54,-0.426572394960713
0.54225,-0.436825687260313
0.5445,-0.447357331965788
0.54675,-0.4581760069587
0.549,-0.469290693945085
0.55125,-0.480710690059943
0.5535,-0.492445619937795
0.55575,-0.504505448267941
0.558,-0.516900492853689
0.56025,-0.529641438195635
0.5625,-0.542739349619607
0.56475,-0.556205687970715
0.567,-0.570052324895629
0.56925,-0.58429155873594
0.5715,-0.598936131056211
0.57375,-0.613999243831055
0.576,-0.629494577316389
0.57825,-0.645436308630721
0.5805,-0.661839131073104
0.58275,-0.678718274205203
0.585,-0.696089524725646
0.58725,-0.713969248165601
0.5895,-0.732374411435319
0.59175,-0.751322606252054
0.594,-0.770832073480638
0.59625,-0.790921728418574
0.5985,-0.81161118705833
0.60075,-0.832920793360139
0.603,-0.854871647569338
0.60525,-0.877485635612854
0.6075,-0.900785459610128
0.60975,-0.924794669534271
0.612,-0.94953769605991
0.61425,-0.975039884634561
0.6165,-1.00132753081098
0.61875,-1.0284279168783
0.621,-1.05636934983021
0.62325,-1.08518120070877
0.6255,-1.11489394536303
0.62775,-1.14553920666143
0.63,-1.17714979819804
0.63225,-1.20975976953227
0.6345,-1.24340445300244
0.63675,-1.27812051215402
0.639,-1.31394599182329
0.64125,-1.35092036991823
0.6435,-1.38908461093863
0.64575,-1.42848122127837
0.648,-1.46915430635373
0.65025,-1.51114962960261
0.6525,-1.55451467340139
0.65475,-1.5992987019477
0.657,-1.64555282615991
0.65925,-1.69333007064713
0.6615,-1.74268544280682
0.66375,-1.79367600411205
0.666,-1.8463609436551
0.66825,-1.90080165402125
0.6705,-1.95706180957361
0.67275,-2.01520744723977
0.675,-2.07530704990106
0.67725,-2.13743163249872
0.6795,-2.2016548309856
0.68175,-2.26805299426939
0.684,-2.33670527931365
0.68625,-2.4076937495852
0.6885,-2.48110347706295
0.69075,-2.55702264805284
0.693,-2.63554267308665
0.69525,-2.71675830122027
0.6975,-2.80076773908831
0.69975,-2.88767277511823
0.702,-2.97757890935733
0.70425,-3.07059548942104
0.7065,-3.16683585312969
0.70875,-3.26641747846326
0.711,-3.36946214152948
0.71325,-3.47609608330749
0.7155,-3.58645018599627
0.71775,-3.7006601598623
0.72,-3.81886674154018
0.72225,-3.94121590478926
