"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
6,4.66475172686561
6.05,4.70265035201809
6.1,4.73936177262506
6.15,4.77509768856533
6.2,4.810038521927
6.25,4.84433769356821
6.3,4.87812554794742
6.35,4.91151268434094
6.4,4.94459281181612
6.45,4.97744514193399
6.5,5.01013647053049
6.55,5.04272286173875
6.6,5.07525114346328
6.65,5.10775995810066
6.7,5.14028095807842
6.75,5.17283961245039
6.8,5.20545573581832
6.85,5.23814438390569
6.9,5.27091620494895
6.95,5.30377795376114
7,5.33673300151699
7.05,5.36978159387034
7.1,5.40292128359712
7.15,5.4361472090908
7.2,5.46945248958925
7.25,5.50282848834224
7.3,5.53626496711095
7.35,5.56975054476921
7.4,5.60327280980805
7.45,5.63681860287893
7.5,5.67037426293862
7.55,5.70392579296563
7.6,5.737459051246
7.65,5.77095999695979
7.7,5.80441474775412
7.75,5.83780978366841
7.8,5.87113210014204
7.85,5.90436926074426
7.9,5.93750951560001
7.95,5.97054187535836
8,6.0034562435951
8.05,6.03624328518837
8.1,6.06889468088988
8.15,6.10140293855125
8.2,6.13376154268084
8.25,6.16596487241473
8.3,6.19800814946641
8.35,6.22988751936728
8.4,6.26159981988354
8.45,6.29314267133678
8.5,6.32451444481997
8.55,6.35571406156853
8.6,6.38674094903438
8.65,6.41759505261318
8.7,6.44827661178509
8.75,6.47878613907822
8.8,6.50912447782935
8.85,6.53929237340227
8.9,6.56929073004665
8.95,6.59912030104929
9,6.62878169973176
9.05,6.65827531355167
9.1,6.68760116533818
9.15,6.71675891479444
9.2,6.74574772703302
9.25,6.77456634059777
9.3,6.80321276226903
9.35,6.83168453915758
9.4,6.85997846229569
9.45,6.88809063364967
9.5,6.91601650119499
9.55,6.94375075750184
9.6,6.97128737866478
9.65,6.99861958098782
9.7,7.02573992491222
9.75,7.05264030214737
9.8,7.07931182523912
9.85,7.10574515721699
9.9,7.13193027261624
9.95,7.1578566186305
10,7.18351317395262
10.05,7.20888856582936
10.1,7.23397097568251
10.15,7.25874829128838
10.2,7.28320813907092
10.25,7.30733791665023
10.3,7.3311248824403
10.35,7.35455618513249
10.4,7.37761872625931
10.45,7.40029936848252
10.5,7.42258478587413
10.55,7.44446155485704
10.6,7.46591589126106
10.65,7.4869336723844
10.7,7.50750038837041
10.75,7.52760092887928
10.8,7.54721936209734
10.85,7.5663388414143
10.9,7.58494134158407
10.95,7.60300756236248
11,7.62051649240867
11.05,7.63744536730481
11.1,7.65376953051109
11.15,7.66946218734276
11.2,7.68449438850035
11.25,7.69883504585619
11.3,7.71245097397927
11.35,7.72530731480491
11.4,7.73736760850395
11.45,7.74859468170868
11.5,7.75895082741241
11.55,7.76839884518825
11.6,7.77690254918587
11.65,7.78442776271644
11.7,7.79094286151612
11.75,7.79641950154959
11.8,7.80083315807419
11.85,7.80416346597307
11.9,7.8063943869171
11.95,7.80751429419691
12,7.80751577023262
12.05,7.80639526795362
12.1,7.80415290371997
12.15,7.80079191559253
12.2,7.79631852304425
12.25,7.79074144960669
12.3,7.78407208590296
12.35,7.77632447847997
12.4,7.76751559508173
12.45,7.75766591756564
12.5,7.74680001549596
12.55,7.73494737384362
12.6,7.72214303769074
12.65,7.70842864799588
12.7,7.69385289182717
12.75,7.6784722142466
12.8,7.66235109782179
12.85,7.64556194917774
12.9,7.62818502168132
12.95,7.61030761412942
13,7.59202307092711
13.05,7.57342936331621
13.1,7.55462742406294
13.15,7.53571896227998
13.2,7.51680421099002
13.25,7.49797956289115
13.3,7.47933490818436
13.35,7.46095112686023
13.4,7.44289769599744
13.45,7.42523055094514
13.5,7.40799011368332
13.55,7.39119987375314
13.6,7.37486523594437
13.65,7.35897288235073
13.7,7.34349058711855
13.75,7.3283673447965
13.8,7.31353365474314
13.85,7.29890239818791
13.9,7.28436931717755
13.95,7.2698139055089
14,7.25509994753189
14.05,7.24007639316081
14.1,7.22457874369886
14.15,7.20843139913931
14.2,7.19145344463602
14.25,7.17347015692335
14.3,7.15433579895328
14.35,7.1339747859649
14.4,7.11245053342047
14.45,7.09006663986108
14.5,7.06748873473726
14.55,7.04583390469734
14.6,7.02661950600992
14.65,7.01145296994956
14.7,7.00147458877719
14.75,6.99682967581369
14.8,6.99655855093862
14.85,6.99901165440978
14.9,7.00247794766828
14.95,7.00563475471669
15,7.00768262275732
15.05,7.00826313658789
15.1,7.00730505542122
15.15,7.00488699997161
15.2,7.00114322969445
15.25,6.9962087850149
15.3,6.99019209162399
15.35,6.98316331070634
15.4,6.97515147681788
15.45,6.9661460390691
15.5,6.9561001869121
15.55,6.94493500888676
15.6,6.93254354775778
15.65,6.91879523702647
15.7,6.90353974707923
15.75,6.88661108301095
15.8,6.86783121241041
15.85,6.84701398678948
15.9,6.82396863650943
15.95,6.79850337254915
16,6.77042898125734
16.05,6.73956197076991
16.1,6.70572807784548
16.15,6.66876529735231
16.2,6.6285268917709
16.25,6.58488420147543
16.3,6.53772927385944
16.35,6.48697693720436
16.4,6.43256726662928
16.45,6.37446692674807
16.5,6.31267059969903
16.55,6.24720199208119
16.6,6.17811404079517
16.65,6.10548915368124
16.7,6.02943839537992
16.75,5.95010044604261
16.8,5.86763992468147
16.85,5.78224520269808
16.9,5.69412567879966
16.95,5.60350863040202
17,5.51063571170763
17.05,5.4157592291111
17.1,5.31913810709648
17.15,5.22103425452965
17.2,5.12170845598491
17.25,5.02141709033508
17.3,4.92040909339295
17.35,4.81892329305173
17.4,4.71718677695212
17.45,4.61541340334751
17.5,4.51380388542297
17.55,4.41254578109078
17.6,4.31181487297198
17.65,4.21177705836223
17.7,4.1125907816968
17.75,4.01440980333902
17.8,3.91738694784106
17.85,3.82167740692662
17.9,3.72744239785245
17.95,3.63485278896972
18,3.54409258364108
