"Freq [GHz]","dB(St11) []"
6,-0.165124642968882
6.05,-0.16823340920029
6.1,-0.171356243841042
6.15,-0.174499142593848
6.2,-0.177667945496143
6.25,-0.180868347950956
6.3,-0.184105912252528
6.35,-0.187386079609571
6.4,-0.190714182671407
6.45,-0.194095458565021
6.5,-0.19753506245378
6.55,-0.201038081631743
6.6,-0.2046095501707
6.65,-0.208254464140776
6.7,-0.211977797429258
6.75,-0.215784518186499
6.8,-0.219679605932448
6.85,-0.223668069362245
6.9,-0.227754964894843
6.95,-0.231945416014576
7,-0.236244633462085
7.05,-0.240657936338249
7.1,-0.245190774192499
7.15,-0.249848750175755
7.2,-0.25463764534745
7.25,-0.259563444236898
7.3,-0.264632361770693
7.35,-0.269850871690697
7.4,-0.275225736601442
7.45,-0.280764039801483
7.5,-0.286473219070857
7.55,-0.292361102606206
7.6,-0.298435947316965
7.65,-0.304706479720179
7.7,-0.311181939698704
7.75,-0.317872127417758
7.8,-0.324787453728854
7.85,-0.331938994428134
7.9,-0.339338548779122
7.95,-0.346998702757753
8,-0.354932897532114
8.05,-0.363155503750205
8.1,-0.371681902278213
8.15,-0.380528572109976
8.2,-0.389713186256528
8.25,-0.399254716525199
8.3,-0.409173548211296
8.35,-0.419491605855035
8.4,-0.430232491363719
8.45,-0.441421635967149
8.5,-0.453086467665961
8.55,-0.465256596052005
8.6,-0.477964016630658
8.65,-0.491243337062736
8.7,-0.505132028073933
8.75,-0.519670702159148
8.8,-0.534903423646192
8.85,-0.550878054186832
8.9,-0.567646638324521
8.95,-0.585265834460121
9,-0.603797397314526
9.05,-0.623308718888398
9.1,-0.643873435965314
9.15,-0.665572113419772
9.2,-0.688493014005746
9.25,-0.71273296694845
9.3,-0.738398349582992
9.35,-0.765606198526015
9.4,-0.794485469487342
9.45,-0.825178467894413
9.5,-0.857842476091099
9.55,-0.892651607077416
9.6,-0.929798919685104
9.65,-0.969498835863377
9.7,-1.01198990752782
9.75,-1.05753798837469
9.8,-1.10643987538397
9.85,-1.15902749565602
9.9,-1.21567272701189
9.95,-1.2767929557352
10,-1.34285749227646
10.05,-1.41439498605116
10.1,-1.4920020040418
10.15,-1.57635296519148
10.2,-1.66821165399781
10.25,-1.76844457272203
10.3,-1.87803643263684
10.35,-1.99810813109664
10.4,-2.12993761315641
10.45,-2.27498407400821
10.5,-2.4349160212923
10.55,-2.61164378333021
10.6,-2.80735711812232
10.65,-3.02456864335142
10.7,-3.26616385842475
10.75,-3.53545854145695
10.8,-3.83626422400116
10.85,-4.17296215822021
10.9,-4.55058544088171
10.95,-4.9749071889149
11,-5.45252864821271
11.05,-5.99095215901968
11.1,-6.59860399267691
11.15,-7.28472776911829
11.2,-8.05897023335512
11.25,-8.93026029080515
11.3,-9.90409632484799
11.35,-10.9763475204545
11.4,-12.1199394949815
11.45,-13.2597046319864
11.5,-14.2392341201467
11.55,-14.8231187385696
11.6,-14.8171682995815
11.65,-14.2431936831811
11.7,-13.3158426262713
11.75,-12.2598166398032
11.8,-11.2140721136768
11.85,-10.2419386896356
