"Freq [GHz]","dB(St(Stripline_T1,Stripline_T1)) []"
8,-11.069655126797
8.065,-11.0275377657642
8.13,-10.9899323481309
8.195,-10.9566696284329
8.26,-10.9274387658245
8.325,-10.9017780778491
8.39,-10.8790710690798
8.455,-10.8585497499107
8.52,-10.8393075700679
8.585,-10.82032451496
8.65,-10.8005069492249
8.715,-10.7787444981212
8.78,-10.7539854550149
8.845,-10.7253306976172
8.91,-10.6921437172318
8.975,-10.6541710307948
9.04,-10.611663034281
9.105,-10.5654805885556
9.17,-10.5171679342604
9.235,-10.4689688973762
9.3,-10.4237621371535
9.365,-10.3848941074631
9.43,-10.3558972868981
9.495,-10.3400974917674
9.56,-10.3401376610584
9.625,-10.3574735371936
9.69,-10.3919226679486
9.755,-10.4413627891574
9.82,-10.5016697440533
9.885,-10.5669538552945
9.95,-10.6300997837518
10.015,-10.6835489253457
10.08,-10.7202016728468
10.145,-10.734278251959
10.21,-10.7219775202535
10.275,-10.6818188606973
10.34,-10.6146315045603
10.405,-10.5232406918687
10.47,-10.4119603180462
10.535,-10.2860197669518
10.6,-10.1510318735828
10.665,-10.0125673348149
10.73,-9.87585823785817
10.795,-9.74562220919087
10.86,-9.62598229747278
10.925,-9.52045330144783
10.99,-9.4319680125785
11.055,-9.36292253656256
11.12,-9.31522578979275
11.185,-9.2903431478646
11.25,-9.28932769987768
11.315,-9.31283477036489
11.38,-9.36111664572965
11.445,-9.43399517887082
11.51,-9.5308105616902
11.575,-9.65034551370502
11.64,-9.79072599263558
11.705,-9.94930297351641
11.77,-10.1225256387486
11.835,-10.3058251192386
11.9,-10.4935397145877
11.965,-10.6789256578986
12.03,-10.8543074319356
12.095,-11.0114201336771
12.16,-11.1419728873159
12.225,-11.2384097412522
12.29,-11.2947690180957
12.355,-11.3074706469762
12.42,-11.2758350130625
12.485,-11.2021869000935
12.55,-11.0915149112911
12.615,-10.9507879179547
12.68,-10.7881132654256
12.745,-10.6119266702534
12.81,-10.4303469097152
12.875,-10.2507501846106
12.94,-10.0795546138674
13.005,-9.92216950641788
13.07,-9.78305423469496
13.135,-9.66583766603578
13.2,-9.57346154955989
13.265,-9.50832385422611
13.33,-9.47240804353187
13.395,-9.46739104933402
13.46,-9.49472667338031
13.525,-9.55570298220887
13.59,-9.65147258399011
13.655,-9.7830539174798
13.72,-9.95130009309843
13.785,-10.1568295203647
13.85,-10.3999096025876
13.915,-10.6802813444197
13.98,-10.9969093349165
14.045,-11.3476396483854
14.11,-11.7287509252622
14.175,-12.1343974967272
14.24,-12.5559784590008
14.305,-12.9815370416499
14.37,-13.3954095622388
14.435,-13.7784833920032
14.5,-14.1095018113735
14.565,-14.3676988473661
14.63,-14.5365033358769
14.695,-14.6072462468668
14.76,-14.5813260688153
14.825,-14.4697691585619
14.89,-14.2904188806788
14.955,-14.0640962908208
15.02,-13.8112003551173
15.085,-13.5495433154626
15.15,-13.2934556676573
15.215,-13.0537880292981
15.28,-12.8383828283834
15.345,-12.6527034551969
15.41,-12.5004459693788
15.475,-12.3840587238322
15.54,-12.3051523387028
15.605,-12.2648087797172
15.67,-12.2638071115949
15.735,-12.3027838553861
15.8,-12.3823428164307
15.865,-12.5031251630404
15.93,-12.6658463369577
15.995,-12.8713022060115
16.06,-13.1203424616953
16.125,-13.4138040987773
16.19,-13.752391156841
16.255,-14.1364778363255
16.32,-14.5657996785876
16.385,-15.0389813503416
16.45,-15.5528316607132
16.515,-16.1013254111367
16.58,-16.6742120017385
16.645,-17.2552973325825
16.71,-17.8207329433193
16.775,-18.3382026137339
16.84,-18.7685952103426
16.905,-19.0718642066355
16.97,-19.2170063508128
17.035,-19.1923220567862
17.1,-19.0097292366438
17.165,-18.7000441036548
17.23,-18.3026121552895
17.295,-17.8555088388207
17.36,-17.3899411765859
17.425,-16.9287652901894
17.49,-16.4873896484338
17.555,-16.0755063698532
17.62,-15.6987954283979
17.685,-15.3602889021664
17.75,-15.0613577793739
17.815,-14.8023839118315
17.88,-14.5831972619624
17.945,-14.4033466502747
18.01,-14.2622541513523
18.075,-14.1592872913384
18.14,-14.0937711022835
18.205,-14.0649535507852
18.27,-14.0719320617872
18.335,-14.1135451032356
18.4,-14.1882306909615
18.465,-14.2938532032485
18.53,-14.4275014886158
18.595,-14.5852658211302
18.66,-14.7620101365369
18.725,-14.9511705052154
18.79,-15.144631165615
18.855,-15.3327524879219
18.92,-15.5046413670136
18.985,-15.6487459552158
19.05,-15.7538017309846
19.115,-15.8100450320436
19.18,-15.8104693572276
19.245,-15.7518000871285
19.31,-15.6348873476828
19.375,-15.4643880436691
19.44,-15.247849067352
19.505,-14.9944830464042
19.57,-14.7139621702369
19.635,-14.4154620011689
19.7,-14.1070467392673
19.765,-13.7953736665146
19.83,-13.4856364549096
19.895,-13.1816566388222
19.96,-12.8860483349743
20.025,-12.6004049040797
20.09,-12.3254775342227
20.155,-12.0613311904816
20.22,-11.8074731199632
20.285,-11.5629545296151
20.35,-11.3264486771124
20.415,-11.096309616269
20.48,-10.8706160130517
20.545,-10.6472042788907
20.61,-10.4236950211895
20.675,-10.1975166169484
20.74,-9.96592962195339
20.805,-9.72605573487226
20.87,-9.47491511684364
20.935,-9.20947598845065
21,-8.92672056255566
