"Theta [deg]","dB(GainTotal) [] - Freq='8GHz' Phi='0deg'"
0,-1.9766980656491
2,-2.09516655264906
4,-2.33952851553822
6,-2.7169087306743
8,-3.23512151345915
10,-3.90034787248437
12,-4.711025972305
14,-5.64291965829664
16,-6.6165472724702
18,-7.44471713071486
20,-7.8175298036945
22,-7.4738979202461
24,-6.47141293000559
26,-5.11686248844916
28,-3.68403882126779
30,-2.31617186745493
32,-1.06651652970438
34,0.0540020903833734
36,1.05103417550711
38,1.935569524772
40,2.71948195417025
42,3.41391946495076
44,4.02883593931043
46,4.57296010140026
48,5.05391558964917
50,5.47837816726123
52,5.85222693214545
54,6.18067537158323
56,6.46837966964213
58,6.71952596359422
60,6.93789953076105
62,7.12693898272184
64,7.28977821780931
66,7.42927845347626
68,7.54805225122425
70,7.64848109888877
72,7.73272783421413
74,7.80274497266706
76,7.8602798301346
78,7.90687719607207
80,7.94388020453592
82,7.97242996070503
84,7.99346440200281
86,8.00771680043337
88,8.01571424238526
90,8.01777635143942
92,8.01401444734037
94,8.00433125994839
96,7.98842124113809
98,7.96577144118332
100,7.93566284028073
102,7.89717195148637
104,7.84917243899481
106,7.79033642517536
108,7.71913508992608
110,7.63383809438252
112,7.53251128417403
114,7.41301204015466
116,7.27298154018939
118,7.10983306587071
120,6.92073532314686
122,6.70258953481385
124,6.4519987949569
126,6.16522784380283
128,5.8381510314531
130,5.46618582803856
132,5.04420892037339
134,4.56645200459324
136,4.02637554627653
138,3.41652269308535
140,2.72836607824422
142,1.95218663342303
144,1.07708773187261
146,0.0914032913414609
148,-1.01586611038852
150,-2.25105919111739
152,-3.60576221951023
154,-5.03350749193306
156,-6.40535537815803
158,-7.46534911296741
160,-7.90237774210588
162,-7.61743201391414
164,-6.83977954748718
166,-5.8831708801387
168,-4.9498130838339
170,-4.1295206984791
172,-3.45155016062483
174,-2.91954493326005
176,-2.52805148405347
178,-2.26939469322825
180,-2.13633777418548
