SimulationID,Wslot,Wtaper,Ltapper,Wbalun,Wstrip,Lstrip_offset,S11_Raw_File,S11_Clean_File,Gain_Raw_File,Gain_Clean_File,MinS11_dB,MinS11_Freq_GHz,PeakGain_dB,PeakGain_Theta_deg,Timestamp,Success,ErrorMessage
SIM001,0.0174927827118198,1.68730407972729,3.65724318246274,0.379579377565984,0.121362845824788,0.345375752167451,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM001_Gain_clean.csv,-38.7142573337668,14.11,7.64378835707545,92,2026-04-13 15:57:47,1,
SIM002,0.022602419812598,1.69971668778687,3.8506839929208,0.302770519498616,0.152185225416442,0.39192655200133,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM002_Gain_clean.csv,-14.5592986189737,11.835,7.84385516915605,90,2026-04-13 16:00:16,1,
SIM003,0.0123263039101461,2.05365686481267,3.82337639141316,0.399167093115324,0.15157381381397,0.353900453067545,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM003_Gain_clean.csv,-19.6578974933219,13.98,7.84653873298635,90,2026-04-13 16:02:45,1,
SIM004,0.0156018706337652,1.89598087545156,3.49682422820659,0.308973696070308,0.146050548707392,0.347018627741014,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM004_Gain_clean.csv,-38.3705354409459,14.76,7.52600064503736,90,2026-04-13 16:04:52,1,
SIM005,0.0338145220133246,1.86344749301566,3.71857073667971,0.332655234523145,0.123844900341032,0.266087219671226,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM005_Gain_clean.csv,-35.0586383354452,16.58,7.82411922623969,88,2026-04-13 16:06:16,1,
SIM006,0.0200827195119657,2.02179321077568,4.07482440475981,0.339246877593814,0.143853312194053,0.362384297537509,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM006_Gain_clean.csv,-24.2453468631553,13.785,8.14719559494139,90,2026-04-13 16:08:30,1,
SIM007,0.0291885836127277,1.96620645653734,4.03209352663574,0.400041768410599,0.146540194065468,0.408402475027286,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM007_Gain_clean.csv,-15.237918053153,11.575,8.13913891718769,90,2026-04-13 16:11:04,1,
SIM008,0.0349530801295549,1.73506767995971,3.70853955158341,0.290185069156456,0.132542632615981,0.372437295831855,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM008_Gain_clean.csv,-17.1833764572473,16.775,7.80811174598148,90,2026-04-13 16:12:10,1,
SIM009,0.0325767007748901,1.79166814020438,3.9149251505376,0.346181092743605,0.150832571483573,0.386102166046212,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM009_Gain_clean.csv,-16.776426800622,20.285,7.97720759385645,90,2026-04-13 16:14:02,1,
SIM010,0.0396607676018222,1.9637384773378,4.01113548850851,0.333751294248122,0.127448571997946,0.299935339158871,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM010_Gain_clean.csv,-32.226270430652,18.075,8.13497958898393,88,2026-04-13 16:15:36,1,
SIM011,0.0255401166834642,1.82923390690183,4.09350638147073,0.299326602459331,0.14089676759703,0.360309357068607,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM011_Gain_clean.csv,-22.4083956208697,13.655,8.1378104828743,90,2026-04-13 16:17:19,1,
SIM012,0.0150386259975455,2.03468992388151,3.67328227225235,0.34434679343777,0.149816591983756,0.394179490906248,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM012_Gain_clean.csv,-15.4813543819028,14.825,7.72341248088346,92,2026-04-13 16:20:00,1,
SIM013,0.0256738092485432,1.75968258692967,3.42428943498308,0.3210719385916,0.122752086029004,0.295917571961891,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_S11.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_S11_clean.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_Gain.csv,W:\Formal\Vivaldi\DATA\results\vivaldi_sweep_20260413_155533\SIM013_Gain_clean.csv,-33.7579081148222,13.2,7.50311196380914,90,2026-04-13 16:22:12,1,
