SimulationIndex,SimulationID,f0_GHz,S11ReportFreq_GHz,S11SweepSampleFreq_GHz,S11SweepSample_dB,S11_Source,Gmain_Source,MainPlane,Gmain_dBi,Gmain_Cut_dBi,PeakGain_dBi,PeakRealizedGain_dBi,FrontToBackRatio_dB,SLL_dB,HPBW_deg,SideLobeSuppression_dB,MainLobeTheta_deg,SideLobeTheta_deg,SideLobeGain_dBi,S11_f0_dB,AbsS11_f0_dB,AbsS11_f0_Linear,Objective1_Neg_Gmain,Objective2_SLL,Objective3_HPBW,Objective4_AbsS11,Gmain_Phi0_dBi,SLL_Phi0_dB,HPBW_Phi0_deg,Gmain_Phi90_dBi,SLL_Phi90_dB,HPBW_Phi90_deg,Ldir,Ldri,L1,Sdir,Sref,Wdri
1,sim_001,2.25,2.25,2.25,-6.84803525534813,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.70574997441351,3.54959587761451,3.70574997441351,2.70049964682818,15.9277684823798,-11.6059106590876,NaN,11.6059106590876,0,156,-8.05631478147312,-6.84803525534813,6.84803525534813,0.45456734852779,-3.70574997441351,-11.6059106590876,NaN,0.45456734852779,3.5495958776145,-0.0188734082874698,NaN,3.54959587761451,-11.6059106590876,NaN,16.4780976193736,46.4429218984761,15.4436123377551,16.4620281331706,17.0686230835941,2.02689807152893
2,sim_002,2.25,2.25,2.25,-2.89950911631129,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.13162964896155,3.583705779688,4.13162964896155,1.00763836411656,13.6355801352589,-10.5468445605886,NaN,10.5468445605886,0,142,-6.96313878090061,-2.89950911631129,2.89950911631129,0.716183884253838,-4.13162964896155,-10.5468445605886,NaN,0.716183884253838,3.583705779688,-0.0235970825504102,NaN,3.583705779688,-10.5468445605886,NaN,15.9995949675671,40.966908592481,17.4209010221495,15.6729083353522,21.5262843933931,4.09809888152892
3,sim_003,2.25,2.25,2.25,-3.05239832694026,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.82520835930312,3.33622707144141,3.82520835930312,0.856602606729149,11.6787326491249,-10.415481851373,NaN,10.415481851373,0,146,-7.07925477993163,-3.05239832694026,3.05239832694026,0.703687900499743,-3.82520835930312,-10.415481851373,NaN,0.703687900499743,3.3362270714414,-0.0254453372763401,NaN,3.33622707144141,-10.415481851373,NaN,17.4887773994625,40.8281330595282,16.6544634695837,13.400812577224,19.4562031749708,3.99731068238866
4,sim_004,2.25,2.25,2.25,-3.5700707774282,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,4.11883963664428,3.37458702363231,4.11883963664428,1.60432885006279,9.72525944580143,-11.5182512545744,NaN,11.5182512545744,0,144,-8.14366423094213,-3.5700707774282,3.5700707774282,0.662973945370621,-4.11883963664428,-11.5182512545744,NaN,0.662973945370621,3.37458702363231,-0.0296632464602999,NaN,3.37458702363231,-11.5182512545744,NaN,14.6422223844688,44.6105413149361,18.1869487529116,13.8283564046151,20.5293332891881,3.27838539377689
5,sim_005,2.25,2.25,2.25,-2.92823468638985,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.9712782882755,3.17791487024379,3.9712782882755,0.877332421356856,8.00018120626322,-10.1681582637804,NaN,10.1681582637804,0,142,-6.99024339353661,-2.92823468638985,2.92823468638985,0.713819266466224,-3.9712782882755,-10.1681582637804,NaN,0.713819266466224,3.17791487024378,-0.0232696552874598,NaN,3.17791487024379,-10.1681582637804,NaN,14.8051612939182,41.2561763240714,17.2132123364901,12.533526977947,21.2421370371577,3.6653476338102
6,sim_006,2.25,2.25,2.25,-4.75177307405256,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.9635420301849,3.46787024119932,3.9635420301849,2.19287697547091,9.63449602049461,-11.4591595875833,NaN,11.4591595875833,0,144,-7.99128934638401,-4.75177307405256,4.75177307405256,0.578643856162921,-3.9635420301849,-11.4591595875833,NaN,0.578643856162921,3.46787024119931,-0.0224880112494596,NaN,3.46787024119932,-11.4591595875833,NaN,17.5081743969223,44.2343806128009,15.2076773720214,12.2611671557439,19.4754594140151,3.15401279021361
7,sim_007,2.25,2.25,2.25,-6.74798886264993,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.55344966035248,2.97172866802323,3.55344966035248,2.52175965381877,5.15938402904357,-10.1591140412055,NaN,10.1591140412055,0,152,-7.18738537318227,-6.74798886264993,6.74798886264993,0.459833446384075,-3.55344966035248,-10.1591140412055,NaN,0.459833446384075,2.97172866802323,-14.9026711539946,NaN,2.97172866802323,-10.1591140412055,NaN,14.6918979214802,46.1519160179868,15.3125469300489,12.4532800271857,16.5027896678061,3.56036952255499
8,sim_008,2.25,2.25,2.25,-4.32040284817236,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.75886587319323,3.60140518757305,3.75886587319323,1.75369206140923,15.3962396164157,-10.5380072412138,NaN,10.5380072412138,0,150,-6.93660205364074,-4.32040284817236,4.32040284817236,0.6081067968687,-3.75886587319323,-10.5380072412138,NaN,0.6081067968687,3.60140518757305,-15.797953100294,NaN,3.60140518757305,-10.5380072412138,NaN,17.0452442349556,43.3453506270756,17.9804329962926,16.3016979197147,18.1039046774329,3.79777727743251
9,sim_009,2.25,2.25,2.25,-3.3406433707316,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.62157911952151,3.44624952069843,3.62157911952151,0.918261677578393,15.2477091866125,-9.8158275129758,NaN,9.8158275129758,0,146,-6.36957799227737,-3.3406433707316,3.3406433707316,0.680718935435103,-3.62157911952151,-9.8158275129758,NaN,0.680718935435103,3.44624952069843,-0.0197385348765202,NaN,3.44624952069843,-9.8158275129758,NaN,15.8520568617876,40.557490957181,17.6782113997705,16.9377271419122,18.8702799753608,4.20713353563102
10,sim_010,2.25,2.25,2.25,-5.23048564910848,ATK_OBJ_S11_F0,ATK_OBJ_PeakGain,Phi90,3.74416841900345,3.21033603491045,3.74416841900345,2.19587641433543,7.50472993226724,-10.8677878856021,NaN,10.8677878856021,0,150,-7.6574518506916,-5.23048564910848,5.23048564910848,0.547615481599161,-3.74416841900345,-10.8677878856021,NaN,0.547615481599161,3.21033603491045,-0.0260608891456,NaN,3.21033603491045,-10.8677878856021,NaN,17.4142243156087,45.8653031628015,16.1160111731256,12.703781401439,17.2474507773521,4.33214787045286
