"Freq [GHz]","dB(St(Driver_T1,Driver_T1)) []"
1,-2.32258631398508
1.005,-2.09212474392687
1.01,-1.89091855421134
1.015,-1.71507725105074
1.02,-1.56121222397398
1.025,-1.42639746756125
1.03,-1.30812293726198
1.035,-1.20424601186993
1.04,-1.11294434647675
1.045,-1.03267193567492
1.05,-0.962119255805065
1.055,-0.90017776160734
1.06,-0.845908662893505
1.065,-0.798515718672229
1.07,-0.757321701351415
1.075,-0.72174816179851
1.08,-0.691298139676342
1.085,-0.665541494348322
1.09,-0.644102568072322
1.095,-0.626649928110671
1.1,-0.612887963975421
1.105,-0.602550138813743
1.11,-0.595393710031403
1.115,-0.591195744820938
1.12,-0.589750263075417
1.125,-0.590866345216991
1.13,-0.594367047640237
1.135,-0.600088975307618
1.14,-0.60788237058153
1.145,-0.617611590112939
1.15,-0.629155857467174
1.155,-0.642410197644974
1.16,-0.657286479940121
1.165,-0.673714516713228
1.17,-0.691643186715994
1.175,-0.711041571772533
1.18,-0.731900114340752
1.185,-0.754231820427707
1.19,-0.778073547481641
1.195,-0.80348743042834
1.2,-0.830562511350145
1.205,-0.85941664992938
1.21,-0.89019880324298
1.215,-0.923091775295329
1.22,-0.958315549121301
1.225,-0.996131327328914
1.23,-1.03684641986683
1.235,-1.08082012874696
1.24,-1.12847078462202
1.245,-1.1802840823781
1.25,-1.23682282945712
1.255,-1.29873813907984
1.26,-1.36678193230703
1.265,-1.44182029219199
1.27,-1.52484662918243
1.275,-1.61699258432064
1.28,-1.71953281164947
1.285,-1.83387675610331
1.29,-1.96153552722589
1.295,-2.1040438873571
1.3,-2.26280490708028
1.305,-2.43880699700614
1.31,-2.63214103447564
1.315,-2.84122759555382
1.32,-3.06167714159273
1.325,-3.28481011773786
1.33,-3.49616164112646
1.335,-3.67486619961715
1.34,-3.79546587521196
1.345,-3.83355305287594
1.35,-3.77451493887613
1.355,-3.62100815040884
1.36,-3.39364430272053
1.365,-3.1238060509651
1.37,-2.8434466928198
1.375,-2.57766605925078
1.38,-2.3421724903277
1.385,-2.14433351144011
1.39,-1.98565004362669
1.395,-1.86418616217531
1.4,-1.77637424868852
1.405,-1.71815041964904
1.41,-1.68557667135143
1.415,-1.67512961641131
1.42,-1.68379595507023
1.425,-1.70906705322636
1.43,-1.74888756407425
1.435,-1.80158822168112
1.44,-1.86581799610358
1.445,-1.94048240100803
1.45,-2.02469030648275
1.455,-2.11770942895597
1.46,-2.21892971417531
1.465,-2.32783350496206
1.47,-2.4439713661032
1.475,-2.5669425509497
1.48,-2.69637925007721
1.485,-2.83193391982644
1.49,-2.97326912982107
1.495,-3.12004948789646
1.5,-3.27193529818222
1.505,-3.42857768568204
1.51,-3.58961498162707
1.515,-3.75467021115029
1.52,-3.92334956106559
1.525,-4.0952417328912
1.53,-4.26991810640849
1.535,-4.44693365325595
1.54,-4.62582854922985
1.545,-4.80613043875169
1.55,-4.9873573058265
1.555,-5.16902090313669
1.56,-5.35063068504449
1.565,-5.53169818163974
1.57,-5.71174174011276
1.575,-5.89029154737336
1.58,-6.06689483488859
1.585,-6.24112115425914
1.59,-6.41256760132914
1.595,-6.58086385889921
1.6,-6.74567692461417
1.605,-6.90671539235631
1.61,-7.06373316320722
1.615,-7.21653247602103
1.62,-7.36496616764065
1.625,-7.50893909799732
1.63,-7.64840870448151
1.635,-7.78338468135919
1.64,-7.91392781170631
1.645,-8.04014800934205
1.65,-8.16220165472112
1.655,-8.28028833016052
1.66,-8.39464707506551
1.665,-8.50555229044204
1.67,-8.61330942394952
1.675,-8.71825056255393
1.68,-8.82073005038425
