"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='0deg'"
0,3.77229441886712
2,3.75254982808299
4,3.73127314822622
6,3.70841506036269
8,3.68393930570561
10,3.65782424514334
12,3.63006412929187
14,3.60067003694667
16,3.5696704298929
18,3.53711126318234
20,3.50305558335413
22,3.46758254390745
24,3.43078576888949
26,3.39277100292866
28,3.35365300040645
30,3.31355162835606
32,3.27258718721881
34,3.23087499022315
36,3.18851928451328
38,3.14560664301932
40,3.10219900237335
42,3.05832656521446
44,3.01398082090274
46,2.96910796294363
48,2.92360299083458
50,2.8773047761875
52,2.82999234696525
54,2.78138260040103
56,2.73112959736403
58,2.6788255228977
60,2.62400332478376
62,2.56614097010455
64,2.50466719440949
66,2.43896856378791
68,2.36839762997813
70,2.29228193393969
72,2.20993360369712
74,2.12065929587519
76,2.02377024428251
78,1.91859219970989
80,1.80447506928579
82,1.68080208814255
84,1.54699837833688
86,1.40253876834408
88,1.24695476032656
90,1.07984054196962
92,0.900857945958995
94,0.709740264759786
96,0.506294833322851
98,0.290404300058842
100,0.0620265193446542
102,-0.178806980686056
104,-0.431993971257789
106,-0.697365912121139
108,-0.974693679361286
110,-1.26369449096243
112,-1.56403981683329
114,-1.87536398210768
116,-2.19727309405926
118,-2.52935384997568
120,-2.87118172254406
122,-3.22232797732484
124,-3.58236495936071
126,-3.95086909659755
128,-4.327421107672
130,-4.71160296883995
132,-5.10299128466519
134,-5.50114681280947
136,-5.90560000743275
138,-6.31583256197376
140,-6.73125504710762
142,-7.15118085500561
144,-7.57479678452035
146,-8.00113074860681
148,-8.42901727721899
150,-8.85706175372578
152,-9.28360469039682
154,-9.70668784453412
156,-10.1240246130802
158,-10.5329779027236
160,-10.9305494888039
162,-11.3133856138274
164,-11.6778040131811
166,-12.0198473863965
168,-12.3353672086417
170,-12.620139402263
172,-12.8700096675446
174,-13.0810614855392
176,-13.2497947230422
178,-13.3732985971101
180,-13.4494008444065
