"Theta [deg]","dB(GainTotal) [] - Freq='2.25GHz' Phi='90.0000000000002deg'"
0,3.67190896895034
2,3.67047321675902
4,3.6657130332428
6,3.65814210263375
8,3.64828316308731
10,3.63664573898015
12,3.62370224136826
14,3.60986345788234
16,3.59545463865724
18,3.58069349278829
20,3.56567140904382
22,3.55033908551017
24,3.53449749384694
26,3.51779473445407
28,3.49972889853159
30,3.47965659486504
32,3.45680638023695
34,3.43029600276294
36,3.39915216126648
38,3.36233141399547
40,3.31874092822041
42,3.26725792316185
44,3.20674688678988
46,3.13607390432277
48,3.0541176886395
50,2.95977712435567
52,2.85197531188433
54,2.72966021875231
56,2.59180211373317
58,2.43738798107293
60,2.26541309585879
62,2.07486989636125
64,1.86473422250713
66,1.63394890648837
68,1.38140460358903
70,1.10591763672833
72,0.806204491311124
74,0.48085242819967
76,0.128285468260387
78,-0.253275276392588
80,-0.665858315567073
82,-1.11179741435026
84,-1.59379866338545
86,-2.11502234391902
88,-2.67918402878965
90,-3.29068070044353
92,-3.95474917743189
94,-4.67766544064474
96,-5.46699335361694
98,-6.33188644052996
100,-7.28342772045628
102,-8.33493529741887
104,-9.50199695683453
106,-10.8015330094792
108,-12.2478826685831
110,-13.8403439463071
112,-15.5281283318473
114,-17.1295320953092
116,-18.2379757466825
118,-18.3952795901674
120,-17.6254746474722
122,-16.401633565701
124,-15.1149404119737
126,-13.9347438659418
128,-12.9072021309766
130,-12.0322226797584
132,-11.2960780368769
134,-10.6828943268022
136,-10.1782206240936
138,-9.76985396405523
140,-9.44777669349906
142,-9.20385429942753
144,-9.03151208649886
146,-8.92545692754038
148,-8.88145758025358
150,-8.89618023857754
152,-8.96707206695543
154,-9.09228602593861
156,-9.27064228752937
158,-9.5016239373955
160,-9.78540724492987
162,-10.1229296828682
164,-10.5160024587789
166,-10.9674792070801
168,-11.4814997272024
170,-12.0638390341241
172,-12.7224107003612
174,-13.4680053860496
176,-14.3154017464268
178,-15.2850893730322
180,-16.4060348882434
